6	1
12	1
12	1
6	3
5	7
17	7
4	2
9	6
9	8
17	10
18	6
10	2
20	9
7	7
15	3
7	8
10	9
19	1
13	10
20	4
13	1
2	8
10	2
5	6
14	6
17	6
14	1
5	4
13	1
16	4
4	3
20	3
4	4
5	10
18	10
17	1
6	6
17	10
19	7
8	2
2	3
20	4
10	10
12	1
14	2
13	8
12	5
14	7
17	9
15	7
2	5
16	4
6	10
19	10
16	4
19	9
5	5
6	10
11	8
16	6
9	5
18	10
8	9
8	2
20	4
4	2
19	10
1	1
14	2
17	4
13	5
9	5
15	9
15	4
11	8
1	7
14	4
7	7
4	1
5	5
14	6
16	2
8	10
16	4
20	8
13	2
15	9
6	2
19	7
12	10
3	5
5	6
7	3
9	1
5	1
3	7
2	10
8	6
3	5
20	4
9	4
6	6
11	1
17	9
4	5
7	10
15	1
3	8
8	2
19	6
8	1
13	8
8	5
6	7
16	6
18	7
14	10
14	8
20	8
8	6
4	9
3	7
16	4
10	3
3	2
17	6
17	2
2	4
4	4
2	9
20	9
15	3
3	6
20	8
11	10
5	3
3	9
18	9
7	1
5	4
11	10
20	8
2	2
19	1
12	7
19	10
10	9
12	6
19	2
2	6
1	2
18	3
9	4
14	7
7	5
8	9
15	7
9	9
10	7
2	4
20	8
11	2
19	4
12	3
15	5
5	1
15	7
17	2
12	4
12	2
12	4
19	1
10	8
12	2
4	6
18	3
17	1
8	3
17	3
13	4
13	6
7	10
7	9
5	7
3	1
18	9
2	5
11	1
5	10
14	6
6	4
16	3
9	8
10	10
20	8
19	2
17	7
11	10
2	9
6	2
13	7
16	7
15	4
9	1
11	4
16	1
9	9
3	1
11	5
19	9
20	7
5	2
3	1
5	1
1	1
20	6
13	1
20	7
8	5
19	5
7	9
15	6
13	2
20	7
14	9
10	2
10	6
20	9
17	4
19	2
4	9
6	6
20	4
12	5
5	3
6	3
1	9
16	2
15	10
1	3
16	2
1	7
3	7
13	4
5	7
5	5
7	4
12	1
5	3
1	4
3	5
4	10
11	8
15	4
10	1
14	8
10	4
10	10
12	6
15	4
11	9
7	5
15	9
8	5
4	7
11	5
6	5
19	5
14	7
11	1
5	3
16	8
5	1
2	7
3	4
4	8
15	5
2	2
7	10
8	10
17	9
20	8
2	4
11	7
12	8
17	3
8	1
20	7
16	1
6	2
2	5
7	4
1	10
17	9
8	6
10	9
19	7
9	3
1	7
3	2
